,Electronic,Experimental,Folk,Hip-Hop,Instrumental,International,Pop,Rock
Electronic,431,86,7,22,18,12,19,5
Experimental,78,332,29,14,71,24,21,28
Folk,29,115,243,4,88,35,44,42
Hip-Hop,226,57,1,283,9,8,9,4
Instrumental,100,114,25,3,289,15,30,24
International,85,81,42,33,20,280,43,16
Pop,170,153,34,37,51,29,64,62
Rock,80,201,10,3,20,20,39,227
