,Electronic,Experimental,Folk,Hip-Hop,Instrumental,International,Pop,Rock
Electronic,29,21,0,12,16,1,0,521
Experimental,20,71,1,9,47,14,0,435
Folk,9,39,3,10,54,11,0,474
Hip-Hop,6,15,0,20,5,2,0,549
Instrumental,22,66,0,1,148,4,0,359
International,8,43,0,10,7,24,0,508
Pop,11,29,0,9,6,3,0,542
Rock,0,4,0,1,0,1,0,594
