,Electronic,Experimental,Folk,Hip-Hop,Instrumental,International,Pop,Rock
Electronic,348,30,30,71,39,15,60,7
Experimental,44,218,85,44,85,18,84,19
Folk,7,39,445,5,34,4,62,4
Hip-Hop,42,9,16,419,14,13,77,7
Instrumental,37,44,108,11,324,10,50,16
International,31,21,163,44,12,251,74,4
Pop,59,22,134,58,54,12,207,54
Rock,20,36,69,2,42,9,211,211
