,Electronic,Experimental,Folk,Hip-Hop,Instrumental,International,Pop,Rock
Electronic,452,73,4,7,32,10,7,15
Experimental,76,312,19,2,100,33,13,42
Folk,25,97,291,1,99,31,16,40
Hip-Hop,248,46,0,203,22,33,24,21
Instrumental,64,100,24,3,357,12,7,33
International,80,69,56,9,20,325,22,19
Pop,138,117,32,10,76,43,60,124
Rock,49,99,14,0,44,25,28,341
