,Electronic,Experimental,Folk,Hip-Hop,Instrumental,International,Pop,Rock
Electronic,287,83,3,2,59,0,0,166
Experimental,109,186,6,2,135,1,0,158
Folk,64,127,98,0,197,0,0,114
Hip-Hop,308,65,1,15,12,0,0,196
Instrumental,64,106,26,0,315,0,0,89
International,140,204,32,2,92,0,0,130
Pop,137,108,20,4,57,0,0,274
Rock,61,46,5,1,55,0,0,432
