,Electronic,Experimental,Folk,Hip-Hop,Instrumental,International,Pop,Rock
Electronic,187,64,30,29,98,67,100,25
Experimental,15,204,86,7,116,41,48,80
Folk,0,22,441,0,74,17,12,34
Hip-Hop,17,30,29,264,47,52,138,20
Instrumental,5,31,89,0,392,12,31,40
International,6,32,163,12,34,289,44,20
Pop,7,32,169,6,87,46,134,119
Rock,6,24,110,0,55,19,55,331
